t,x,y
4.695,7.561969,9.47099
4.71,19.678012,24.31195
4.725,25.493138,12.581754
4.74,24.135678,8.850571
4.755,24.58458,20.630433
4.77,20.893384,12.870759
4.785,12.820462,16.627285
4.8,8.527303,5.23154
4.815,12.824421,16.638908
4.83,17.754564,24.090976
4.845,22.526729,5.872723
4.86,26.480016,12.758748
4.875,4.783292,9.556221
4.89,19.95706,9.143889
4.905,11.789402,15.793396
4.92,10.954602,10.233629
4.935,16.378717,11.360476
4.95,14.401132,4.378749
4.965,11.723093,15.745944
4.98,12.414896,5.355375
4.995,15.525117,11.232744
5.01,19.948462,9.054962
5.025,12.175147,15.252856
5.04,16.573896,3.218099
5.055,15.389477,7.414323
5.07,11.798962,11.346859
5.085,19.810407,24.277572
5.1,2.933499,16.362198
5.115,7.229861,8.439313
5.13,8.961915,6.157138
5.145,10.116981,6.09631
5.16,12.046803,4.027316
5.175,21.365427,5.553256
5.19,15.087894,17.561463
5.205,1.726751,9.631642
5.22,15.429841,11.226884
5.235,17.731753,23.878911
5.25,1.710122,9.557738
5.265,14.467162,4.37164
5.28,14.494582,4.386564
5.295,12.318436,15.382676
5.31,8.609771,1.853996
5.325,9.658209,11.649084
5.34,12.504145,16.298523
5.355,6.781962,8.124983
5.37,25.637197,15.094993
5.385,21.064289,12.98743
5.4,12.671334,15.596947
5.415,6.66432,8.097031
5.43,19.823142,24.569504
5.445,21.094466,13.027645
5.46,12.683494,15.42562
5.475,20.135494,6.058207
5.49,11.641542,10.031955
5.505,7.639379,7.324469
5.52,21.860982,5.106483
5.535,25.21575,25.494576
5.55,16.396725,2.736539
5.565,16.977453,23.156478
5.58,0.838151,15.422346
5.595,19.873858,24.519194
5.61,14.425643,6.650886
5.625,11.521521,4.651587
5.64,15.447673,11.2173
5.655,15.043116,18.183102
5.67,4.955015,13.59401
5.685,14.278827,12.146043
5.7,25.050771,25.565991
5.715,15.958356,4.905414
5.73,1.278626,10.513474
5.745,25.200621,12.205444
5.76,1.400536,10.380129
5.775,11.136242,17.212468
5.79,3.169076,14.707787
5.805,0.49397,15.556351
5.82,20.998958,12.904666
5.835,8.019813,7.487286
5.85,14.477919,4.402199
5.865,11.55794,4.704362
5.88,15.214178,17.711789
5.895,17.277209,23.332893
5.91,8.710751,18.028044
5.925,3.10957,16.169285
5.94,16.378621,2.730428
5.955,4.024167,13.15023
5.97,22.051521,20.3038
5.985,12.839607,16.751432
6.0,17.835618,24.089426
6.015,21.04503,9.381386
6.03,13.011319,11.562678
6.045,3.368132,13.465926
6.06,6.400852,9.209719
6.075,8.961223,6.024054
6.09,12.821782,16.72108
6.105,12.897571,14.022316
6.12,20.98702,13.003778
6.135,3.399762,13.397348
6.15,21.253871,17.782449
6.165,25.712454,15.188263
6.18,22.364548,10.369185
6.195,14.471268,11.867434
6.21,20.269433,13.189636
6.225,15.746237,4.47198
6.24,8.933874,6.030483
6.255,9.024502,6.159495
6.27,3.875819,13.154133
6.285,8.996529,5.985931
6.3,16.899867,11.954871
6.315,17.574019,23.852162
6.33,16.540398,3.297791
6.345,1.50176,10.383527
6.36,4.355224,12.069609
6.375,11.595557,4.808973
6.39,25.609146,15.909159
6.405,12.823124,16.715059
6.42,3.484771,11.825412
6.435,21.112606,9.273071
6.45,17.039488,23.02941
6.465,22.207062,4.901175
6.48,21.370349,16.891955
6.495,25.522315,12.101648
6.51,19.918222,9.010572
6.525,4.404726,9.042138
6.54,10.000633,6.00378
6.555,12.671999,12.147961
6.57,21.040952,12.915208
6.585,24.883866,17.335192
6.6,11.984975,4.162432
6.615,11.608995,9.722592
6.63,4.590943,8.952503
6.645,10.757354,22.297525
6.66,10.582261,11.59783
6.675,17.722833,24.014798
6.69,25.607431,12.088533
6.705,9.90267,6.051721
6.72,18.54546,24.710863
6.735,10.687568,22.376359
6.75,17.030045,11.947087
6.765,9.00694,6.22675
6.78,17.045024,11.885607
6.795,18.538563,24.690439
6.81,10.717208,11.683233
6.825,12.755234,16.680638
6.84,13.625606,15.719727
6.855,19.967223,9.15547
6.87,21.739031,13.408625
6.885,17.044766,11.880312
6.9,25.561483,7.973428
6.915,22.198427,4.855257
6.93,3.671836,14.175463
6.945,3.599167,12.010664
6.96,1.039096,9.823324
6.975,15.557907,4.564206
6.99,8.889489,6.139567
7.005,25.433014,16.053545
7.02,10.417998,19.567691
7.035,15.863472,5.448874
7.05,11.713953,5.028592
7.065,13.558241,15.698127
7.08,3.562076,11.927076
7.095,3.711439,12.993371
7.11,10.908188,10.44534
7.125,12.27253,15.276953
7.14,10.36871,5.300561
7.155,3.623216,11.947743
7.17,8.305072,9.583384
7.185,3.872464,12.992272
7.2,20.473677,18.663794
7.215,16.877404,23.026129
7.23,3.842606,14.092427
7.245,10.18198,6.057225
7.26,21.733845,9.822685
7.275,14.561487,4.457079
7.29,12.67444,15.363779
7.305,5.935356,9.030529
7.32,11.761861,14.283087
7.335,17.022526,11.996257
7.35,16.973437,11.924345
7.365,15.700163,4.593095
7.38,21.436249,19.889768
7.395,17.66205,23.839832
7.41,3.931184,13.0407
7.425,9.965351,6.103114
7.44,11.392274,13.174287
7.455,4.240735,12.167893
7.47,15.879584,5.507744
7.485,11.881862,10.875526
7.5,21.159982,9.435058
7.515,15.750177,5.474398
7.53,11.683302,4.929748
7.545,16.951572,3.131407
7.56,21.220035,9.517591
7.575,25.340633,15.968697
7.59,21.160767,9.532617
7.605,16.960258,11.905047
7.62,16.878348,22.982714
7.635,21.423708,10.219635
7.65,11.615343,4.902527
7.665,22.099494,4.806596
7.68,5.02875,11.266354
7.695,9.791413,11.436008
7.71,20.401404,18.631265
7.725,1.818094,5.993328
7.74,24.812667,17.300992
7.755,11.423499,17.33206
7.77,20.34122,18.734973
7.785,1.948959,9.604155
7.8,12.358552,11.20476
7.815,20.110482,13.149242
7.83,12.475371,15.342569
7.845,22.120603,4.780933
